last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,swing_percent,
Lynn, Lance,458681,2017,3.43,69.6,18.7,24.3,31.3,80.7,5.8,80,45.5,42.4,44.9,
Gonzalez, Gio,461829,2017,2.96,64.4,16.8,23.7,34.2,70.8,4.8,81.6,45.9,43.8,42.3,
Estrada, Marco,462136,2017,4.98,70.9,22.4,27.2,28.8,81.2,6.4,76.8,50.5,45.5,49.3,
Nova, Ivan,467100,2017,4.14,68.5,10.9,31.8,33.9,76,8.1,87.7,50.7,42.5,50.5,
Chacin, Jhoulys,468504,2017,3.89,62.2,13.1,23.2,39.2,74.4,7.7,85.5,49.8,42.9,42.6,
Carrasco, Carlos,471911,2017,3.29,68.8,18.8,29.5,54.3,76.3,7.8,80.9,49.1,41.8,48.9,
Hellickson, Jeremy,476451,2017,5.43,69.9,15.2,28.5,24.9,79.8,6.8,84.6,46.9,43.8,48,
Kershaw, Clayton,477132,2017,2.31,69.6,21.1,31.7,50.5,77.6,7.1,78.1,52,42.9,51.7,
Cashner, Andrew,488768,2017,3.40,66.3,10,23.4,28.4,76.9,8.1,89.7,49.8,43,44.7,
Quintana, Jose,500779,2017,4.15,63,14.8,25,37.1,76,7.1,84.7,49.7,42.9,43.9,
Archer, Chris,502042,2017,4.07,68.9,22.4,27.1,50.7,79.3,7.1,77.2,50,43.1,47.9,
Cobb, Alex,502171,2017,3.66,61.2,10.9,28.2,29.1,68.6,6.7,88.5,48.6,44.3,44.3,
Samardzija, Jeff,502188,2017,4.42,67.1,17.1,30.4,34.2,77.1,7.2,82,51.1,43.7,49.1,
Leake, Mike,502190,2017,3.92,68.3,10.7,27.8,36.7,78.8,6.9,88.6,50,44.2,48.4,
Darvish, Yu,506433,2017,3.86,65.3,20.4,27.4,46.8,72.5,8,79.2,51.5,43.4,47,
Moore, Matt,519043,2017,5.52,68.2,14.1,25.9,34.6,74.3,8,83.4,52.3,42.6,48,
Nelson, Jimmy,519076,2017,3.49,65.5,18,30.2,42.3,72.8,8.8,80.8,52.3,43,48.7,
Pomeranz, Drew,519141,2017,3.32,63.8,16,27.5,40,66.7,7.5,83.3,47.1,40.4,44.6,
Porcello, Rick,519144,2017,4.65,67.7,17.7,29.7,29.7,73.3,8.1,82,52.2,43.4,49.6,
Sale, Chris,519242,2017,2.90,65.6,24.9,32.9,47,73,8.3,74.8,52.6,44.7,50.1,
Perez, Martin,527048,2017,4.82,64.2,12.4,29.3,27.6,73.6,5.9,87.4,44.6,43.5,44.9,
Teheran, Julio,527054,2017,4.49,68.5,16.5,26.6,33.7,79,7.3,82.5,48.3,41.7,47,
Cole, Gerrit,543037,2017,4.26,66.5,16.7,25.5,34.8,79.3,8.4,82.6,51.2,41.8,46.5,
Gray, Sonny,543243,2017,3.55,67.8,16.5,27.9,50,75.1,6.8,82.9,46.7,41.2,46.6,
Roark, Tanner,543699,2017,4.67,66.8,17.5,27.7,35.7,71.4,6.5,81.6,47.2,43.6,46.1,
Strasburg, Stephen,544931,2017,2.52,65.7,19.7,30.8,47.3,71.5,9.5,79.5,52.9,44.5,49.7,
Bauer, Trevor,545333,2017,4.19,63,14.9,21.9,48.6,70.1,7.4,84.7,49.3,41.7,42.2,
Tanaka, Masahiro,547888,2017,4.74,71.2,19.7,33.5,52.1,73.8,5.8,79.6,46.7,43.6,51.2,
Urena, Jose,570632,2017,3.82,69.4,13.8,26.9,32,79.8,5.8,85.6,43.6,41.1,45.5,
Corbin, Patrick,571578,2017,4.03,67.5,14.9,29.1,46.5,82,6,84.1,46.7,42.3,47,
Straily, Dan,573185,2017,4.26,70.5,18.9,29.8,44,80.6,8.2,80.4,49.3,41.7,49.9,
Stroman, Marcus,573186,2017,3.09,66.4,13.9,24.6,47.3,76.1,7.2,86.1,47.5,42.3,44.5,
Gausman, Kevin,592332,2017,4.68,67.3,18.6,27.9,41.5,78.4,6.2,80.8,47.3,42.4,46.5,
Ray, Robbie,592662,2017,2.89,63.6,22.7,27.5,58.7,68.9,6.5,76.2,47.7,40.8,44.7,
Martinez, Carlos,593372,2017,3.64,65,17.4,26.8,42.8,76.9,7.7,81.4,52.5,43.7,46.8,
deGrom, Jacob,594798,2017,3.53,68.8,23.9,29.7,41.8,74.2,7.1,75.1,51.6,45.5,49.9,
Bundy, Dylan,605164,2017,4.24,68.2,18.5,31.2,39.4,75.5,7.1,81,48.5,43.1,49.1,
Davies, Zach,605200,2017,3.90,64.9,12.9,24.7,28.7,79.2,6.2,85.5,46.6,45.1,43.4,
Fulmer, Michael,605242,2017,3.83,69.4,15.6,29.3,35.6,75.7,6.8,83.9,50.6,43.3,49.5,
Nola, Aaron,605400,2017,3.54,61.5,19.9,27.9,40.4,66.8,7.6,78.8,51.4,45.7,45.2,
Perdomo, Luis,606131,2017,4.67,65.5,12.4,26.6,41.4,70.4,8.4,86.1,48,39.9,45.3,
Wacha, Michael,608379,2017,4.13,66.8,18.4,26.8,35.3,80.9,8,81.1,52.3,44.9,47.8,
Marquez, German,608566,2017,4.39,68.2,14.8,22.9,42.9,76.6,10.8,84.6,57.1,40.2,48.7,
Blach, Ty,621389,2017,4.78,66.8,12.2,23.3,25.1,79.9,7.9,86.6,51.6,43.1,45.8,
Severino, Luis,622663,2017,2.98,67.9,20.8,28.2,47.6,79,7.9,79,52.8,41.6,49.1,
Wainwright, Adam,425794,2019,4.19,60.9,12.1,25.1,35.6,74.3,7.8,86.6,48.2,41.5,42.4,
Greinke, Zack,425844,2019,2.93,63.6,15.9,33.2,36.7,72.3,6,83.7,44.6,43.8,46.7,
Verlander, Justin,434378,2019,2.58,67.9,26.6,35.2,47.7,77.6,7.7,73,51.3,43.6,51.9,
Sanchez, Anibal,434671,2019,3.85,67.8,16.3,32.1,33,74.7,6.3,83.2,45.7,42.4,48.4,
Morton, Charlie,450203,2019,3.05,63,19.1,31,52,72.8,8,80.8,51.3,41.7,47.4,
Lester, Jon,452657,2019,4.46,68.3,14.9,28.1,32.8,81.2,5.1,84.1,44,43.2,45.7,
Scherzer, Max,453286,2019,2.92,70.8,25.9,34,50.4,77.3,7.9,73.5,50.3,41.1,52.5,
Bailey, Homer,456701,2019,4.57,67.6,15.8,29.4,42.6,72.5,7.5,83.9,49.4,42.2,48.5,
Lynn, Lance,458681,2019,3.67,69.3,22.4,28.3,43.2,85.2,8.1,76.6,50.3,41.7,49,
Nova, Ivan,467100,2019,4.72,69.1,11.1,30.9,32.9,78.4,6.6,87.9,47,43.2,48.9,
Anderson, Brett,474463,2019,3.89,66.5,10.3,27.3,34.6,75.1,8.2,88.4,51.7,42.6,47.5,
Kershaw, Clayton,477132,2019,3.03,69.5,16.5,34.3,49.1,78.4,7.4,82.2,48.3,43.3,51.3,
Miley, Wade,489119,2019,3.98,68.8,15.2,26.8,38,78.6,4.6,84.2,42.7,44.4,44.6,
Quintana, Jose,500779,2019,4.68,64,12,26.6,39.4,68.6,6.3,87.5,46.7,42.5,44.3,
Minor, Mike,501985,2019,3.59,67.2,21,29.2,37.8,73.2,7,78.5,48.9,43.9,47.8,
Samardzija, Jeff,502188,2019,3.52,70.2,16,28.2,28.9,82.8,7.4,83.4,48,42.4,48.3,
Leake, Mike,502190,2019,4.29,69.5,11.6,30.4,33.5,78.9,7.8,87.9,51.1,45.1,50.4,
Darvish, Yu,506433,2019,3.98,64.1,20.4,31.7,50,73.8,7.1,77.7,51.5,43.5,48.3,
Bumgarner, Madison,518516,2019,3.90,70.5,17.7,31.6,39.4,75.4,7.3,81.5,49.2,43.9,50.7,
Kelly, Merrill,518876,2019,4.42,68.9,16.4,27.4,35.7,74.8,7.5,82.9,47.6,44.5,47.2,
Porcello, Rick,519144,2019,5.52,67.6,13.5,29.5,28.7,79.2,8.2,85.9,52.1,44.6,49.4,
Perez, Martin,527048,2019,5.12,68.4,14.4,32.7,34.1,72.4,6.1,85.1,45.6,44.9,49,
Teheran, Julio,527054,2019,3.81,68.4,17,26.7,32.6,81,6.4,82.9,44.4,41.3,45.3,
Cole, Gerrit,543037,2019,2.50,66,28.3,32.3,56.9,78.4,9.1,71.4,52.2,43.6,49.9,
DeSclafani, Anthony,543101,2019,3.89,67.5,14,29.9,43.3,76,7.9,85.7,48.4,42.1,48.1,
Gray, Sonny,543243,2019,2.87,59.8,14.5,27.8,50.8,74.2,6.6,84.5,44.3,39.7,42.2,
Hendricks, Kyle,543294,2019,3.46,64.3,17,33.5,31.9,72,6.8,82.5,51.3,47.7,49.3,
Roark, Tanner,543699,2019,4.35,68.9,15,25.9,35.8,79.9,6.6,84.3,45.8,42.6,45.9,
Strasburg, Stephen,544931,2019,3.32,63.1,18.8,35,47.7,65.7,6.4,80.2,45,42.8,47.7,
Bauer, Trevor,545333,2019,4.48,64.9,18.1,28,52,70.3,6.8,81.2,46.7,39.9,45.3,
Tanaka, Masahiro,547888,2019,4.45,68,13.4,34.7,41,79.1,4.7,86.4,47.1,46.7,50.4,
Ryu, Hyun Jin,547943,2019,2.32,67.6,18,33.5,36.9,72,5.8,81.3,47.4,44.3,49.7,
Wheeler, Zack,554430,2019,3.96,69.6,17.8,30.8,35.2,76.5,7.7,81.5,51.6,45.3,50.9,
Boyd, Matthew,571510,2019,4.56,68.9,22.4,30.7,51.5,73.7,7.5,77.4,50.2,42.9,49.8,
Corbin, Patrick,571578,2019,3.25,65.7,15.6,34.3,53.2,72.5,5.5,83.3,41.7,42,47.4,
Fiers, Mike,571666,2019,3.90,66.3,14.6,26.9,27.6,69,8,84.9,51.7,43,47.3,
Mikolas, Miles,571945,2019,4.16,65,14.6,33.2,35.4,76.3,7.4,84.7,49.7,43.7,49.3,
Stroman, Marcus,573186,2019,3.22,65.2,14.6,28.8,42.6,80,6.1,84.5,44.8,42.6,45.1,
Ray, Robbie,592662,2019,4.34,64.3,23,30.3,48.8,74.7,6.2,75.7,44.4,42.5,45.4,
Syndergaard, Noah,592789,2019,4.28,70.6,19.7,30.5,43.7,76.1,6.4,79.3,50.7,46.8,50.8,
Rodriguez, Eduardo,593958,2019,3.81,67.6,20.5,30.4,39.4,76.2,5.4,79.4,43.5,44.1,46.4,
deGrom, Jacob,594798,2019,2.43,73.9,24,35.4,45.5,81,6.9,75,46.9,44.9,53.4,
Gonzales, Marco,594835,2019,3.99,65.7,14.1,29.8,26.1,77.3,7.4,85.2,49.6,47,47.7,
Junis, Jakob,596001,2019,5.24,65.1,12.6,27.6,43.6,77.4,7.9,87.3,47.1,42,45.3,
Musgrove, Joe,605397,2019,4.44,70.1,15.5,32.7,45,78.2,8,83.8,51.4,45.3,51.9,
Nola, Aaron,605400,2019,3.87,58.8,16.4,32.3,42.3,67.7,5.8,83.1,46.2,44.6,44.6,
Fried, Max,608331,2019,4.02,66.7,16.2,29.6,45.5,74.1,7.5,82.6,48,41.6,47.4,
Giolito, Lucas,608337,2019,3.41,68,26.3,27.6,50.4,81.6,9.1,73.7,54.3,43.6,49.6,
Marquez, German,608566,2019,4.76,67.1,15.4,30.5,52.9,81.2,8.8,83.3,51.9,41.3,49.5,
Eflin, Zach,621107,2019,4.13,66.2,14.7,30.3,31.6,80.1,6.3,84.7,48.7,45.1,47.8,
Buehler, Walker,621111,2019,3.26,66.3,19.8,32.5,42.6,78.2,7.9,79.9,53,43.1,50.3,
Berrios, Jose,621244,2019,3.68,64.5,16.6,33.6,36.2,69.6,7.7,82.7,50.2,44.6,49.1,
Castillo, Luis,622491,2019,3.40,68.5,24.5,32.3,52,76.2,5.3,74,41.3,42.7,47.3,
Lopez, Reynaldo,625643,2019,5.38,69.2,19,26.4,40.9,79.3,7.9,80.9,51.9,43.6,48.7,
Hudson, Dakota,641712,2019,3.35,65.7,13.6,25.1,46.8,75.9,7.1,85.2,47.1,41.1,44.2,
Keller, Brad,641745,2019,4.19,66.7,11,27.6,38.5,77.1,8,87.5,47.2,41,46,
Alcantara, Sandy,645261,2019,3.88,70,16.1,31.3,38.2,74.8,7.7,82.4,47.3,43.7,49.6,
Soroka, Mike,647336,2019,2.68,67.9,15.8,31.2,35.7,76.3,6.6,82.9,47.7,42.3,48.8,
Flaherty, Jack,656427,2019,2.75,67.4,22,29.8,49.4,74.4,6.5,77.6,48.4,44.1,48,
Lucchesi, Joey,664192,2019,4.18,67.1,15.7,27.4,44.7,81.8,6,83.1,45.2,42,45.3,
Bieber, Shane,669456,2019,3.28,65.4,16.8,32.6,54.9,70.6,6.3,83.1,46.3,42.5,47.8,
Wainwright, Adam,425794,2021,3.05,60.7,11.9,27.3,36.7,65.8,7.8,86.9,49.5,45.4,43.8,
Greinke, Zack,425844,2021,4.16,66.3,12.4,28.8,40,76.7,6.7,87.4,45.9,43,46,
Morton, Charlie,450203,2021,3.34,64.5,19.4,27.7,50.8,77.2,7.8,79.8,49.8,43.3,46,
Scherzer, Max,453286,2021,2.46,71,25.9,29.7,54.2,78.4,8.2,73.6,50.7,42.8,50.6,
Miley, Wade,489119,2021,3.37,70.3,18.6,30.6,32.5,81.1,4.1,79.7,42.5,46.6,47.5,
Gibson, Kyle,502043,2021,3.71,68.3,13.7,28.5,43.7,77.1,5,85.7,41.1,44.2,44.8,
Darvish, Yu,506433,2021,4.22,66.6,19.5,26,49.7,75.7,8.9,80.1,53.1,44,47.6,
Anderson, Tyler,542881,2021,4.53,73.1,19.7,33.3,31.5,81.2,7.1,79.7,52.3,44.9,54.2,
Cole, Gerrit,543037,2021,3.23,66.8,24.7,32,46.2,77.1,8.4,75.2,48.7,42.4,48.9,
DeSclafani, Anthony,543101,2021,3.17,68.5,16,27.8,45.3,77,8.5,83.7,51.9,41.8,48.9,
Eovaldi, Nathan,543135,2021,3.75,69,18.3,30.3,47.4,75.7,8.2,81.4,55.1,43.9,51.6,
Hendricks, Kyle,543294,2021,4.77,65.9,15.4,32.4,29.1,79.8,6.7,84.3,48.5,48,48.6,
Lyles, Jordan,543475,2021,5.15,70.3,15.2,27.6,43.3,77.6,7.2,84.1,48.3,42.1,48.2,
Ryu, Hyun Jin,547943,2021,4.37,64.6,16.3,30.5,35.6,76.6,5.7,83.3,49.6,46.6,47.5,
